payment_id,invoice_id,paid_date,payment_method,amount_gbp,legacy_batch_id
PAY000000001,INV000000002,2026-01-22,direct_debit,764.86,BATCH-20260122-01
PAY000000002,INV000000006,2026-01-04,direct_debit,1638.32,BATCH-20260104-10
PAY000000003,INV000000008,2026-02-11,card,616.72,BATCH-20260211-04
PAY000000004,INV000000009,2026-01-07,card,925.2,BATCH-20260107-05
PAY000000005,INV000000010,2026-01-05,bank_transfer,180.23,BATCH-20260105-09
PAY000000006,INV000000011,2026-01-08,bank_transfer,215.41,BATCH-20260108-11
PAY000000007,INV000000012,2026-01-24,bank_transfer,308.4,BATCH-20260124-09
PAY000000008,INV000000014,2026-02-02,bank_transfer,425.12,BATCH-20260202-11
PAY000000009,INV000000015,2026-02-07,bank_transfer,592.14,BATCH-20260207-10
PAY000000010,INV000000016,2026-01-06,direct_debit,968.39,BATCH-20260106-08
PAY000000011,INV000000018,2026-02-03,bank_transfer,470.62,BATCH-20260203-03
