component_id,component_name,plane,azure_service,purpose,implementation_status,evidence_class,key_decision,not_used_alternatives
cmp-sqlmi-transport,Transport operational database,Operational data plane,Azure SQL Managed Instance,Host the SQL Server-style legacy_tms workload with reduced compatibility risk.,planned,derived evidence,ADR-0001,Azure SQL Database deferred until compatibility risks reduce; SQL Server on Azure VM rejected unless unsupported instance dependencies appear.
cmp-postgres-billing,Billing and service relational database,Operational data plane,Azure Database for PostgreSQL Flexible Server,"Host PostgreSQL-like billing, payment, and service-case workloads.",planned,derived evidence,ADR-0006,Azure SQL rejected unless later evidence justifies engine conversion.
cmp-adls,Enterprise lake storage,Data engineering / analytical plane,ADLS Gen2,"Store landing, bronze, silver, gold, quarantine, checkpoints, schemas, and audit evidence.",planned,estimated design assumption,ADR-0009,"Database-only analytical storage rejected due to replay, scale, and medallion needs."
cmp-databricks,Lakehouse engineering workspace,Data engineering / analytical plane,Azure Databricks,"Run batch, CDC, streaming, data-quality, and medallion processing with Unity Catalog governance.",planned,derived evidence,ADR-0002,Synapse-only or database-only processing rejected for this lakehouse engineering scope.
cmp-unity-catalog,Lakehouse governance catalog,Data engineering / analytical plane,Unity Catalog,"Govern Databricks catalogs, schemas, permissions, lineage, and managed/external table boundaries.",planned,estimated design assumption,ADR-0010,Ad hoc workspace ACLs rejected for production governance.
cmp-ai-boundary,Future AI-enabled data services,AI-enabled data plane,Azure SQL AI capabilities; Azure AI Search; Azure OpenAI,Define future SQL-native vector/search and governed RAG boundary without implementing it yet.,planned,estimated design assumption,ADR-0003,Cosmos DB not selected without proven document-serving requirement.
cmp-identity,Platform identity and access,Control / security / operations plane,Microsoft Entra ID and managed identities,"Provide human, workload, database, Databricks, storage, and CI/CD identity boundaries.",planned,derived evidence,ADR-0004,Static shared secrets rejected for target production design.
cmp-keyvault,Secrets and key boundary,Control / security / operations plane,Azure Key Vault,"Store unavoidable secrets, customer-managed keys if later justified, and integration credentials.",planned,estimated design assumption,ADR-0004,Committed secrets or local configuration secrets rejected.
cmp-private-network,Private production connectivity,Control / security / operations plane,"Azure VNet, Private Link, private endpoints, Private DNS","Provide segmented private connectivity for SQL MI, PostgreSQL, storage, Key Vault, Databricks, and administration.",planned,estimated design assumption,ADR-0011,Public production data-plane exposure rejected; dev may use controlled simplifications.
cmp-observability,Monitoring and audit platform,Control / security / operations plane,"Azure Monitor, Log Analytics, Application Insights","Collect platform logs, audit evidence, workload telemetry, freshness, and operational alerts.",planned,estimated design assumption,ADR-0012,Uncentralised local logs rejected for production operations.
cmp-iac-cicd,Deployment control plane,Control / security / operations plane,Bicep and GitHub Actions,"Provide repeatable IaC, validation, promotion, and federated deployment identity.",planned,derived evidence,ADR-0005,Portal-only deployment rejected.
