invoice_id,shipment_id,customer_ref,invoice_date,due_date,invoice_status,net_amount_gbp,tax_amount_gbp
INV000000001,SHP000000001,ACCT-000005,2026-01-02,2026-02-01,issued,485.04,97.01
INV000000002,SHP000000002,ACCT-000001,2026-01-02,2026-02-01,issued,637.38,127.48
INV000000003,SHP000000003,ACCT-000002,2026-01-02,2026-02-01,void,986.91,197.38
INV000000004,SHP000000004,ACCT-000008,2026-01-02,2026-02-01,paid,385.79,77.16
INV000000005,SHP000000005,ACCT-000006,2026-01-02,2026-02-01,issued,1054.71,210.94
INV000000006,SHP000000006,ACCT-000006,2026-01-02,2026-02-01,paid,1365.27,273.05
INV000000007,SHP000000007,ACCT-000005,2026-01-02,2026-02-01,void,959.06,191.81
INV000000008,SHP000000008,ACCT-000004,2026-01-02,2026-02-01,paid,513.93,102.79
INV000000009,SHP000000009,ACCT-000005,2026-01-02,2026-02-01,paid,771.0,154.2
INV000000010,SHP000000010,ACCT-000003,2026-01-02,2026-02-01,paid,150.19,30.04
INV000000011,SHP000000011,ACCT-000007,2026-01-02,2026-02-01,issued,179.51,35.9
INV000000012,SHP000000012,ACCT-000008,2026-01-02,2026-02-01,paid,257.0,51.4
INV000000013,SHP000000013,ACCT-000006,2026-01-02,2026-02-01,paid,491.92,98.38
INV000000014,SHP000000014,ACCT-000008,2026-01-02,2026-02-01,paid,354.27,70.85
INV000000015,SHP000000015,ACCT-000002,2026-01-02,2026-02-01,overdue,493.45,98.69
INV000000016,SHP000000016,ACCT-000005,2026-01-02,2026-02-01,issued,806.99,161.4
INV000000017,SHP000000017,ACCT-000006,2026-01-02,2026-02-01,overdue,1005.84,201.17
INV000000018,SHP000000018,ACCT-000001,2026-01-02,2026-02-01,issued,392.18,78.44
