shipment_id,customer_id,route_id,assigned_vehicle_id,external_order_ref,shipment_status,created_at,promised_delivery_at,delivered_at,declared_value_gbp,hazmat_flag,legacy_options_json
SHP000000001,CUST000005,ROUTE00003,VEH000007,ORD-2026-00000001,delivered,2026-01-01T08:37:00Z,2026-01-04T01:37:00Z,2026-01-04T23:37:00Z,4484.9,False,"{""tailLift"": true, ""temperatureControlled"": false}"
SHP000000002,CUST000001,ROUTE00009,VEH000007,ORD-2026-00000002,delivered,2026-01-01T09:14:00Z,2026-01-03T12:14:00Z,2026-01-04T01:14:00Z,6263.85,False,"{""tailLift"": false, ""temperatureControlled"": false}"
SHP000000003,CUST000002,ROUTE00004,VEH000007,ORD-2026-00000003,allocated,2026-01-01T09:51:00Z,2026-01-02T22:51:00Z,,7707.24,False,"{""tailLift"": false, ""temperatureControlled"": false}"
SHP000000004,CUST000008,ROUTE00005,VEH000001,ORD-2026-00000004,delivered,2026-01-01T10:28:00Z,2026-01-03T20:28:00Z,2026-01-03T16:28:00Z,3316.52,False,"{""tailLift"": true, ""temperatureControlled"": false}"
SHP000000005,CUST000006,ROUTE00007,VEH000004,ORD-2026-00000005,allocated,2026-01-01T11:05:00Z,2026-01-04T04:05:00Z,,7445.51,False,"{""tailLift"": false, ""temperatureControlled"": false}"
SHP000000006,CUST000006,ROUTE00012,VEH000008,ORD-2026-00000006,delayed,2026-01-01T11:42:00Z,2026-01-04T15:42:00Z,,8326.48,False,"{""tailLift"": false, ""temperatureControlled"": false}"
SHP000000007,CUST000005,ROUTE00006,VEH000002,ORD-2026-00000007,created,2026-01-01T12:19:00Z,2026-01-02T16:19:00Z,,7934.45,False,"{""tailLift"": false, ""temperatureControlled"": false}"
SHP000000008,CUST000004,ROUTE00011,VEH000002,ORD-2026-00000008,delivered,2026-01-01T12:56:00Z,2026-01-02T19:56:00Z,2026-01-02T23:56:00Z,4893.28,True,"{""tailLift"": false, ""temperatureControlled"": false}"
SHP000000009,CUST000005,ROUTE00005,VEH000006,ORD-2026-00000009,delivered,2026-01-01T13:33:00Z,2026-01-03T09:33:00Z,2026-01-03T14:33:00Z,4252.7,False,"{""tailLift"": true, ""temperatureControlled"": false}"
SHP000000010,CUST000003,ROUTE00012,VEH000001,ORD-2026-00000010,delivered,2026-01-01T14:10:00Z,2026-01-05T00:10:00Z,2026-01-05T08:10:00Z,814.23,False,"{""tailLift"": false, ""temperatureControlled"": false}"
SHP000000011,CUST000007,ROUTE00002,VEH000007,ORD-2026-00000011,in_transit,2026-01-01T14:47:00Z,2026-01-04T12:47:00Z,,1011.29,False,"{""tailLift"": false, ""temperatureControlled"": false}"
SHP000000012,CUST000008,ROUTE00006,VEH000001,ORD-2026-00000012,allocated,2026-01-01T15:24:00Z,2026-01-03T12:24:00Z,,3108.3,True,"{""tailLift"": false, ""temperatureControlled"": false}"
SHP000000013,CUST000006,ROUTE00004,VEH000004,ORD-2026-00000013,in_transit,2026-01-01T16:01:00Z,2026-01-04T15:01:00Z,,3676.65,False,"{""tailLift"": false, ""temperatureControlled"": false}"
SHP000000014,CUST000008,ROUTE00005,VEH000007,ORD-2026-00000014,in_transit,2026-01-01T16:38:00Z,2026-01-03T12:38:00Z,,3576.9,False,"{""tailLift"": true, ""temperatureControlled"": false}"
SHP000000015,CUST000002,ROUTE00007,VEH000007,ORD-2026-00000015,delivered,2026-01-01T17:15:00Z,2026-01-03T08:15:00Z,2026-01-03T07:15:00Z,4042.38,False,"{""tailLift"": true, ""temperatureControlled"": false}"
SHP000000016,CUST000005,ROUTE00008,VEH000002,ORD-2026-00000016,delivered,2026-01-01T17:52:00Z,2026-01-03T10:52:00Z,2026-01-03T17:52:00Z,6406.41,False,"{""tailLift"": false, ""temperatureControlled"": false}"
SHP000000017,CUST000006,ROUTE00004,VEH000001,ORD-2026-00000017,delivered,2026-01-01T18:29:00Z,2026-01-02T23:29:00Z,2026-01-02T22:29:00Z,6312.74,False,"{""tailLift"": false, ""temperatureControlled"": false}"
SHP000000018,CUST000001,ROUTE00001,VEH000006,ORD-2026-00000018,delayed,2026-01-01T19:06:00Z,2026-01-03T15:06:00Z,,2384.34,False,"{""tailLift"": false, ""temperatureControlled"": false}"
