capability_id,domain,capability,implementation_status,evidence_path,validation_class,owner,production_dependency,residual_gap,evidence_classification
cap-001,assessment,Legacy estate assessment,implemented locally,outputs/database_estate_inventory.csv,locally validated,architecture and migration team,none for local evidence,live discovery would require customer estate access,locally validated
cap-002,architecture,Target-state architecture,implemented locally,outputs/architecture/architecture_traceability.csv,locally validated,architecture team,cloud validation for deployment,private networking and HA/DR require Azure validation,locally validated
cap-003,migration,Migration factory,implemented locally,outputs/migration/migration_manifest.csv,locally validated,migration team,source/target connectivity,production cutover requires live rehearsal,locally validated
cap-004,Azure SQL,"SQL MI target, operations, performance and CI/CD",configuration defined,outputs/sql_cicd/release_readiness.csv,requires Azure validation,database platform team,Azure SQL Managed Instance,runtime build/deploy/performance validation remains required,requires Azure validation
cap-005,PostgreSQL target,Secondary billing target schema,configuration defined,src/data_engineering/secondary_sources/postgres_billing/target_flexible_server_schema.sql,requires Azure validation,database platform team,Azure Database for PostgreSQL,sizing and live migration remain open,requires Azure validation
cap-006,Databricks,Platform foundation and Unity Catalog,configuration defined,outputs/databricks_foundation/platform_readiness.csv,requires Databricks validation,data platform team,Databricks workspace,bundle and runtime validation remain required,requires Databricks validation
cap-007,pipelines,Medallion ingestion and Gold products,implemented locally,outputs/databricks_pipelines/pipeline_readiness.csv,locally validated,data engineering team,Databricks runtime,production job execution remains required,locally validated
cap-008,data quality,Quality gates and orchestration,implemented locally,outputs/databricks_orchestration/orchestration_readiness.csv,locally validated,data quality owner,Databricks expectations/jobs,runtime expectations remain required,locally validated
cap-009,operations,Databricks monitoring and FinOps,configuration defined,outputs/databricks_operations/operations_readiness.csv,requires Databricks validation,operations team,Databricks system tables,live telemetry remains required,requires Databricks validation
cap-010,AI-enabled SQL,Vector/full-text/hybrid retrieval and SQL-native RAG,configuration defined,outputs/sql_ai/sql_ai_readiness.csv,requires Azure validation,AI/data platform team,Azure SQL AI and Azure OpenAI,real embeddings/generation not executed locally,requires Azure validation
cap-011,API integration,"DAB, REST, GraphQL and MCP boundary",configuration defined,outputs/application_integration/integration_readiness.csv,requires application runtime validation,application integration team,Container Apps/DAB runtime,live API runtime validation remains required,requires application runtime validation
cap-012,Fabric boundary,Fabric downstream handoff contract,configuration defined,outputs/fabric_integration/fabric_integration_readiness.csv,requires Fabric validation,Azure producer and Fabric consumer teams,Fabric runtime,Fabric shortcuts/interoperability require validation,requires Fabric validation
cap-013,IaC,Bicep modules and switch-gated root template,configuration defined,infra/main.bicep,configuration defined,platform engineering,Azure deployment tooling,Bicep build optional based on local tooling,configuration defined
cap-014,CI/CD,Repository validation and SQL release workflows,implemented locally,.github/workflows/ci.yml,locally validated,DevSecOps team,GitHub Actions,cloud deployment approval remains manual,locally validated
cap-015,security,Entra-first least privilege and data controls,configuration defined,outputs/final_assurance/security_assurance_matrix.csv,configuration defined,security team,Azure/Databricks/Fabric runtime,runtime permission validation remains required,configuration defined
cap-016,observability,"Monitoring, alert and runbook coverage",configuration defined,outputs/final_assurance/observability_assurance.csv,configuration defined,operations team,live telemetry sources,alerts require cloud telemetry,configuration defined
cap-017,resilience,HA/DR and recovery posture,configuration defined,outputs/final_assurance/resilience_assurance.csv,requires Azure validation,operations team,cloud failover/restore drills,DR not tested locally,requires Azure validation
cap-018,FinOps,Cost-driver and optimization controls,configuration defined,outputs/final_assurance/finops_assurance.csv,configuration defined,FinOps owner,runtime billing/usage telemetry,no currency values claimed,configuration defined
