compatibility_finding,source_object,required_remediation,target_object,status,validation_evidence
SQL-COMP-001,dbo.CustomerAccount.LegacyCustomerMemo,Replace deprecated ntext with nvarchar(max).,dbo.CustomerAccount.LegacyCustomerMemo,implemented locally,Target SQL uses nvarchar(max); local static schema comparison generated.
SQL-COMP-002,dbo.Shipment.DeclaredValueGbp,Retain money for migration compatibility but flag decimal review for SQL performance milestone.,dbo.Shipment.DeclaredValueGbp,accepted risk,Manifest documents accepted compatibility risk; no cloud validation claimed.
SQL-COMP-003,dbo.usp_CreateShipment; dbo.usp_UpdateShipmentStatus,Preserve stored procedure signatures and create regression-test placeholders.,target stored procedures,implemented locally,Target SQL assets include stored procedures; execution against Azure not performed.
SQL-COMP-004,LegacyOptionsJson; EventPayloadJson,Retain JSON as nvarchar(max) and document contract validation requirement.,target JSON columns,implemented locally,Target schema keeps JSON payload columns; downstream validation deferred.
SQL-COMP-005,vw_OpenShipmentsByDepot; operational reporting query,Add migration-readiness nonclustered index for route/status/date reporting only.,IX_Shipment_Route_Status_CreatedAt,implemented locally,Target index asset generated; performance milestone remains deferred.
SQL-COMP-006,dbo.ShipmentEventHistory,Document history-table migration and replay strategy; do not implement partitioning yet.,dbo.ShipmentEventHistory,deferred,Partitioning and archival design deferred to SQL operations/performance milestones.
SQL-COMP-007,dbo.Shipment.RowVersionBytes,Preserve rowversion and document concurrency semantics.,dbo.Shipment.RowVersionBytes,implemented locally,Target SQL preserves rowversion.
SQL-COMP-008,Legacy authentication model,Remove hardcoded users from target schema; use Entra/managed identity later.,security model,requires live validation,No users emitted in target schema; Entra mapping requires live environment.
SQL-COMP-009,Collation and instance settings,Document live validation prerequisite.,target MI settings,requires live validation,Cannot be validated locally; gate remains required.
PG-COMP-001,billing_ops customer_ref,Keep source customer_ref but add migration evidence for identifier mapping risk.,billing_ops.invoice.customer_ref,accepted risk,Reconciliation checks customer_ref counts; semantic mapping deferred.
