dependency_id,source,target,dependency_type,direction,evidence_class,evidence,migration_relevance
DEP-001,Transport web application,legacy_tms,application_database,application_to_database,synthetic assumption,Stored procedures create and update shipments.,Application coupling affects target selection and cutover sequencing.
DEP-002,dbo.usp_CreateShipment,dbo.Shipment,stored_procedure_table,procedure_to_table,locally measured,Procedure inserts Shipment rows and derives route/customer identifiers.,Stored procedure compatibility and test coverage required before migration.
DEP-003,dbo.usp_UpdateShipmentStatus,dbo.ShipmentEventHistory,stored_procedure_history,procedure_to_table,locally measured,Procedure updates Shipment and appends event history.,CDC/event sourcing behaviour must be preserved.
DEP-004,billing_ops.invoice,legacy_tms.Shipment,cross_system_identifier,billing_to_transport,derived evidence,Invoices reference shipment_id and ACCT-style customer_ref.,Identifier mapping must be remediated before integrated analytics.
DEP-005,depot_reference_feed.csv,legacy_tms.Depot,file_feed_reference,file_to_database,locally measured,Depot feed uses depot_code and includes nullable capacity defect.,Landing validation required before ingestion.
DEP-006,carrier_updates.json,legacy_tms.Shipment,partner_status_feed,file_to_database,locally measured,Carrier updates reference external_order_ref and schema_version.,Schema drift and partner status mapping affect ingestion design.
DEP-007,shipment_operational_events.jsonl,legacy_tms.Shipment,event_producer,event_to_database,locally measured,Events reference aggregate_id using shipment identifiers.,Streaming ingestion must implement idempotency and ordering.
DEP-008,Operational reporting query,legacy_tms.Shipment,reporting_consumer,consumer_to_database,locally measured,"Workload query groups depot, route, status and recent shipment age.",Candidate to move from OLTP to analytical serving.
DEP-009,Legacy database users,future Entra identities,identity_transition,security_dependency,requires live estate validation,"Current authentication model is an assumption, not measured telemetry.",Identity discovery required before migration execution.
DEP-010,Daily carrier import schedule,depot_partner_feeds,operational_schedule,scheduler_to_feed,synthetic assumption,Batch windows are assumed from operating model.,Scheduling and replay windows must be validated with source owners.
