event_id,shipment_id,event_sequence,event_type,event_timestamp,source_system,event_payload_json
EVT000000000001,SHP000000001,1,created,2026-01-01T12:37:00Z,legacy_tms,"{""scanner"": ""SCN236"", ""status"": ""created""}"
EVT000000000002,SHP000000001,2,allocated,2026-01-02T00:37:00Z,legacy_tms,"{""scanner"": ""SCN449"", ""status"": ""allocated""}"
EVT000000000003,SHP000000001,3,departed,2026-01-01T23:37:00Z,legacy_tms,"{""scanner"": ""SCN726"", ""status"": ""departed""}"
EVT000000000004,SHP000000001,4,arrived,2026-01-02T16:37:00Z,legacy_tms,"{""scanner"": ""SCN403"", ""status"": ""arrived""}"
EVT000000000005,SHP000000002,1,created,2026-01-01T14:14:00Z,legacy_tms,"{""scanner"": ""SCN957"", ""status"": ""created""}"
EVT000000000006,SHP000000002,2,allocated,2026-01-02T01:14:00Z,legacy_tms,"{""scanner"": ""SCN574"", ""status"": ""allocated""}"
EVT000000000007,SHP000000002,3,departed,2026-01-01T18:14:00Z,legacy_tms,"{""scanner"": ""SCN921"", ""status"": ""departed""}"
EVT000000000008,SHP000000002,4,arrived,2026-01-01T17:14:00Z,legacy_tms,"{""scanner"": ""SCN154"", ""status"": ""arrived""}"
EVT000000000009,SHP000000003,1,created,2025-12-02T08:00:00Z,legacy_tms,"{""scanner"": ""SCN628"", ""status"": ""created""}"
EVT000000000010,SHP000000003,2,allocated,2026-01-01T23:51:00Z,legacy_tms,"{""scanner"": ""SCN161"", ""status"": ""allocated""}"
EVT000000000011,SHP000000003,3,departed,2026-01-02T06:51:00Z,legacy_tms,"{""scanner"": ""SCN958"", ""status"": ""departed""}"
EVT000000000012,SHP000000003,4,arrived,2026-01-02T17:51:00Z,legacy_tms,"{""scanner"": ""SCN894"", ""status"": ""arrived""}"
EVT000000000013,SHP000000004,1,created,2026-01-01T17:28:00Z,legacy_tms,"{""scanner"": ""SCN677"", ""status"": ""created""}"
EVT000000000014,SHP000000004,2,allocated,2026-01-01T20:28:00Z,legacy_tms,"{""scanner"": ""SCN317"", ""status"": ""allocated""}"
EVT000000000015,SHP000000004,3,departed,2026-01-01T22:28:00Z,legacy_tms,"{""scanner"": ""SCN740"", ""status"": ""departed""}"
EVT000000000016,SHP000000004,4,arrived,2026-01-01T22:28:00Z,legacy_tms,"{""scanner"": ""SCN192"", ""status"": ""arrived""}"
EVT000000000017,SHP000000005,1,created,2026-01-01T17:05:00Z,legacy_tms,"{""scanner"": ""SCN124"", ""status"": ""created""}"
EVT000000000018,SHP000000005,2,allocated,2026-01-01T17:05:00Z,legacy_tms,"{""scanner"": ""SCN254"", ""status"": ""allocated""}"
EVT000000000019,SHP000000005,3,departed,2026-01-01T20:05:00Z,legacy_tms,"{""scanner"": ""SCN761"", ""status"": ""departed""}"
EVT000000000020,SHP000000005,4,arrived,2026-01-02T19:05:00Z,legacy_tms,"{""scanner"": ""SCN729"", ""status"": ""arrived""}"
EVT000000000021,SHP000000006,1,created,2026-01-01T18:42:00Z,legacy_tms,"{""scanner"": ""SCN873"", ""status"": ""created""}"
EVT000000000022,SHP000000006,2,allocated,2026-01-01T21:42:00Z,legacy_tms,"{""scanner"": ""SCN210"", ""status"": ""allocated""}"
EVT000000000023,SHP000000006,3,departed,2026-01-01T17:42:00Z,legacy_tms,"{""scanner"": ""SCN804"", ""status"": ""departed""}"
EVT000000000024,SHP000000006,4,arrived,2026-01-02T11:42:00Z,legacy_tms,"{""scanner"": ""SCN547"", ""status"": ""arrived""}"
EVT000000000025,SHP000000007,1,created,2026-01-01T14:19:00Z,legacy_tms,"{""scanner"": ""SCN893"", ""status"": ""created""}"
EVT000000000026,SHP000000007,2,allocated,2026-01-01T22:19:00Z,legacy_tms,"{""scanner"": ""SCN827"", ""status"": ""allocated""}"
EVT000000000027,SHP000000007,3,departed,2026-01-02T00:19:00Z,legacy_tms,"{""scanner"": ""SCN907"", ""status"": ""departed""}"
EVT000000000028,SHP000000007,4,arrived,2026-01-02T16:19:00Z,legacy_tms,"{""scanner"": ""SCN205"", ""status"": ""arrived""}"
EVT000000000029,SHP000000008,1,created,2026-01-01T18:56:00Z,legacy_tms,"{""scanner"": ""SCN742"", ""status"": ""created""}"
EVT000000000030,SHP000000008,2,allocated,2026-01-02T02:56:00Z,legacy_tms,"{""scanner"": ""SCN701"", ""status"": ""allocated""}"
EVT000000000031,SHP000000008,3,departed,2026-01-01T21:56:00Z,legacy_tms,"{""scanner"": ""SCN895"", ""status"": ""departed""}"
EVT000000000032,SHP000000008,4,arrived,2026-01-02T20:56:00Z,legacy_tms,"{""scanner"": ""SCN372"", ""status"": ""arrived""}"
EVT000000000033,SHP000000009,1,created,2026-01-01T16:33:00Z,legacy_tms,"{""scanner"": ""SCN447"", ""status"": ""created""}"
EVT000000000034,SHP000000009,2,allocated,2026-01-02T05:33:00Z,legacy_tms,"{""scanner"": ""SCN886"", ""status"": ""allocated""}"
EVT000000000035,SHP000000009,3,departed,2026-01-02T04:33:00Z,legacy_tms,"{""scanner"": ""SCN900"", ""status"": ""departed""}"
EVT000000000036,SHP000000009,4,arrived,2026-01-01T21:33:00Z,legacy_tms,"{""scanner"": ""SCN655"", ""status"": ""arrived""}"
EVT000000000037,SHP000000010,1,created,2026-01-01T19:10:00Z,legacy_tms,"{""scanner"": ""SCN389"", ""status"": ""created""}"
EVT000000000038,SHP000000010,2,allocated,2026-01-02T06:10:00Z,legacy_tms,"{""scanner"": ""SCN847"", ""status"": ""allocated""}"
EVT000000000039,SHP000000010,3,departed,2026-01-02T05:10:00Z,legacy_tms,"{""scanner"": ""SCN248"", ""status"": ""departed""}"
EVT000000000040,SHP000000010,4,arrived,2026-01-02T22:10:00Z,legacy_tms,"{""scanner"": ""SCN228"", ""status"": ""arrived""}"
EVT000000000041,SHP000000011,1,created,2026-01-01T20:47:00Z,legacy_tms,"{""scanner"": ""SCN795"", ""status"": ""created""}"
EVT000000000042,SHP000000011,2,allocated,2026-01-01T18:47:00Z,legacy_tms,"{""scanner"": ""SCN587"", ""status"": ""allocated""}"
EVT000000000043,SHP000000011,3,departed,2026-01-02T14:47:00Z,legacy_tms,"{""scanner"": ""SCN497"", ""status"": ""departed""}"
EVT000000000044,SHP000000011,4,arrived,2026-01-01T22:47:00Z,legacy_tms,"{""scanner"": ""SCN285"", ""status"": ""arrived""}"
EVT000000000045,SHP000000012,1,created,2026-01-01T20:24:00Z,legacy_tms,"{""scanner"": ""SCN360"", ""status"": ""created""}"
EVT000000000046,SHP000000012,2,allocated,2026-01-02T07:24:00Z,legacy_tms,"{""scanner"": ""SCN691"", ""status"": ""allocated""}"
EVT000000000047,SHP000000012,3,departed,2026-01-01T21:24:00Z,legacy_tms,"{""scanner"": ""SCN202"", ""status"": ""departed""}"
EVT000000000048,SHP000000012,4,arrived,2026-01-02T07:24:00Z,legacy_tms,"{""scanner"": ""SCN776"", ""status"": ""arrived""}"
EVT000000000049,SHP000000013,1,created,2026-01-01T21:01:00Z,legacy_tms,"{""scanner"": ""SCN757"", ""status"": ""created""}"
EVT000000000050,SHP000000013,2,allocated,2026-01-01T20:01:00Z,legacy_tms,"{""scanner"": ""SCN920"", ""status"": ""allocated""}"
EVT000000000051,SHP000000013,3,departed,2026-01-02T01:01:00Z,legacy_tms,"{""scanner"": ""SCN158"", ""status"": ""departed""}"
EVT000000000052,SHP000000013,4,arrived,2026-01-02T04:01:00Z,legacy_tms,"{""scanner"": ""SCN511"", ""status"": ""arrived""}"
EVT000000000053,SHP000000014,1,created,2026-01-01T19:38:00Z,legacy_tms,"{""scanner"": ""SCN496"", ""status"": ""created""}"
