route_id,origin_depot_id,destination_depot_id,route_code,planned_hours,is_hazmat_enabled
ROUTE00001,DEPOT001,DEPOT002,DPN-DPM,5,False
ROUTE00002,DEPOT001,DEPOT003,DPN-DPB,6,False
ROUTE00003,DEPOT001,DEPOT004,DPN-DPL,7,False
ROUTE00004,DEPOT002,DEPOT001,DPM-DPN,8,False
ROUTE00005,DEPOT002,DEPOT003,DPM-DPB,9,False
ROUTE00006,DEPOT002,DEPOT004,DPM-DPL,10,False
ROUTE00007,DEPOT003,DEPOT001,DPB-DPN,11,True
ROUTE00008,DEPOT003,DEPOT002,DPB-DPM,12,False
ROUTE00009,DEPOT003,DEPOT004,DPB-DPL,13,False
ROUTE00010,DEPOT004,DEPOT001,DPL-DPN,14,False
ROUTE00011,DEPOT004,DEPOT002,DPL-DPM,15,False
ROUTE00012,DEPOT004,DEPOT003,DPL-DPB,16,False
