failure_mode,blast_radius,detection,response,rollback_recovery,owner,runbook,evidence,evidence_classification
Azure SQL outage,operational apps and SQL AI unavailable,Azure Monitor/SQL alerts,failover/restore runbook,backup/restore or failover,database platform team,docs/runbooks/sqlmi-database-unavailable.md,docs/runbooks/sqlmi-database-unavailable.md,configuration defined
PostgreSQL outage,billing target unavailable,database health alerts,restore/failover per target design,restore or reconnect,database platform team,docs/runbooks/billing-ops-cutover.md,docs/runbooks/billing-ops-cutover.md,configuration defined
Databricks job failure,pipeline delay,job failure queries/alerts,retry/remediate job,controlled replay,data platform team,docs/runbooks/databricks-job-failure.md,docs/runbooks/databricks-job-failure.md,configuration defined
streaming lag,event freshness breach,streaming health rules,scale/restart/replay,checkpoint recovery,data platform team,docs/runbooks/databricks-streaming-lag.md,docs/runbooks/databricks-streaming-lag.md,configuration defined
schema drift,contract break or quarantine,schema drift validator,classify and remediate,schema evolution/replay,data engineering team,docs/runbooks/schema-drift-remediation.md,docs/runbooks/schema-drift-remediation.md,configuration defined
data-quality failure,publication blocked,quality gate failures,quarantine/remediate,reprocess from valid source,data quality owner,docs/runbooks/data-quality-failure.md,docs/runbooks/data-quality-failure.md,configuration defined
storage access failure,pipeline or Fabric handoff blocked,storage/dependency errors,repair RBAC/ACL/network,restore access,platform team,docs/runbooks/databricks-failed-ingestion-job.md,docs/runbooks/databricks-failed-ingestion-job.md,configuration defined
Azure OpenAI unavailable,AI answer generation unavailable,AI dependency failure status,return grounded unavailable response,retry after provider recovery,AI platform team,docs/runbooks/sql-ai-azure-openai-invocation-failure.md,docs/runbooks/sql-ai-azure-openai-invocation-failure.md,configuration defined
API unavailable,client integration failure,Application Insights requests,restart/rollback API revision,previous container revision,application integration team,docs/application-api-integration.md,docs/application-api-integration.md,configuration defined
authentication failure,users/workloads blocked,401/403 telemetry,validate Entra/app role mapping,restore identity config,security team,docs/runbooks/sqlmi-authentication-failure.md,docs/runbooks/sqlmi-authentication-failure.md,configuration defined
Fabric handoff failure,downstream analytics stale,quality/handoff manifest status,coordinate producer/consumer fix,last valid version or repaired shortcut,shared Azure/Fabric owners,docs/fabric-integration-boundary.md,docs/fabric-integration-boundary.md,configuration defined
CI/CD failure,release blocked,GitHub Actions,repair validation/dependency,rerun after fix,DevSecOps team,docs/runbooks/deployment-rollback.md,docs/runbooks/deployment-rollback.md,configuration defined
secret/configuration failure,security/release block,secret check/config validator,rotate/remove and audit,reissue credentials externally,security team,outputs/final_assurance/security_assurance_matrix.csv,outputs/final_assurance/security_assurance_matrix.csv,configuration defined
